filename,p/bar,Di,Df,Density,AVA,ASA,NAVA,NASA,UC_volume,Gamma_cage_window,DeltaD_cage_window,Eta_wall,Phi_accessible,hoa/kcal/mol,mmol/g,S(g1)
DB1-Uio66Zr-irmof6_A-irmof7_A_No1,0.015,6.52202,3.38793,1.34096,0.0,0.0,95.0994,205.619,2283.85,1.925075193407184,3.1340900000000005,,0.0,7.689723,0.674824,170.338985
DB1-Uio66Zr-irmof6_A-irmof7_A_No1,0.15,6.52202,3.38793,1.34096,0.0,0.0,95.0994,205.619,2283.85,1.925075193407184,3.1340900000000005,,0.0,7.258521,2.6035,159.08332
DB1-Uio66Zr-irmof6_A-irmof7_A_No155,0.015,6.35607,2.85566,1.42096,0.0,0.0,77.5594,178.408,2283.85,2.2257796796537406,3.50041,,0.0,8.367259,0.922455,230.460515
DB1-Uio66Zr-irmof6_A-irmof7_A_No155,0.15,6.35607,2.85566,1.42096,0.0,0.0,77.5594,178.408,2283.85,2.2257796796537406,3.50041,,0.0,8.598125,2.980019,201.37595
DB1-Uio66Zr-irmof6_A-irmof7_A_No69,0.015,6.35607,2.49975,1.53162,0.0,0.0,61.9379,153.932,2283.85,2.5426822682268226,3.8563199999999997,,0.0,8.213343,0.770365,213.322425
DB1-Uio66Zr-irmof6_A-irmof7_A_No69,0.15,6.35607,2.49975,1.53162,0.0,0.0,61.9379,153.932,2283.85,2.5426822682268226,3.8563199999999997,,0.0,7.81603,2.567887,220.498295
DB1-Uio66Zr-irmof10_A_No16,0.015,10.06105,6.0098,1.06793,879.782,900.31,0.0,0.0,4791.32,1.6741072914240074,4.05125,1.023333052960847,0.18361996276600187,6.246427,0.174915,7.97036
DB1-Uio66Zr-irmof10_A_No16,0.15,10.06105,6.0098,1.06793,879.782,900.31,0.0,0.0,4791.32,1.6741072914240074,4.05125,1.023333052960847,0.18361996276600187,5.971339,1.873022,76.78849
DB1-Uio66Zr-BDC_A-irmof7_A_No332,0.015,5.96944,3.04284,1.67262,0.0,0.0,44.9852,131.994,2235.84,1.9617988458150937,2.9265999999999996,,0.0,8.210602,0.634895,191.900045
DB1-Uio66Zr-BDC_A-irmof7_A_No332,0.15,5.96944,3.04284,1.67262,0.0,0.0,44.9852,131.994,2235.84,1.9617988458150937,2.9265999999999996,,0.0,7.558075,2.171238,183.463735
DB1-Uio66Zr-BDC_A-irmof7_A_No88,0.015,6.62543,2.25401,1.4284,0.0,0.0,74.7219,178.133,2235.84,2.939396897085638,4.37142,,0.0,7.412612,0.959591,250.261205
DB1-Uio66Zr-BDC_A-irmof7_A_No88,0.15,6.62543,2.25401,1.4284,0.0,0.0,74.7219,178.133,2235.84,2.939396897085638,4.37142,,0.0,7.721727,2.717567,212.542225
DB1-Uio66Zr-BDC_A-DABCO_A_No7,0.015,6.6053,3.46393,1.37864,0.0,0.0,102.044,213.423,2235.84,1.9068803353416495,3.1413699999999998,,0.0,6.736409,0.232044,41.364935
DB1-Uio66Zr-BDC_A-DABCO_A_No7,0.15,6.6053,3.46393,1.37864,0.0,0.0,102.044,213.423,2235.84,1.9068803353416495,3.1413699999999998,,0.0,6.82888,1.401241,92.110335
DB1-Uio66Zr-BDC_A-TED_A_No1,0.015,8.63768,3.8376,1.25971,147.253,250.547,0.0,0.0,2235.84,2.2508025849489264,4.8000799999999995,1.7014729750836997,0.06586025833691139,6.055055,0.189789,25.57299
DB1-Uio66Zr-BDC_A-TED_A_No1,0.15,8.63768,3.8376,1.25971,147.253,250.547,0.0,0.0,2235.84,2.2508025849489264,4.8000799999999995,1.7014729750836997,0.06586025833691139,6.715824,1.303997,80.051755
DB1-Uio66Zr-irmof12_A-irmof14_A_No8,0.015,8.99832,4.05814,0.862296,415.794,563.096,192.047,230.931,4847.21,2.2173508060342915,4.94018,1.354266776336359,0.08578006729644476,6.396186,0.172382,9.56742
DB1-Uio66Zr-irmof12_A-irmof14_A_No8,0.15,8.99832,4.05814,0.862296,415.794,563.096,192.047,230.931,4847.21,2.2173508060342915,4.94018,1.354266776336359,0.08578006729644476,6.016205,1.4959,56.365965
DB1-Uio66Zr-BDC_A-irmof7_A_No329,0.015,6.12928,3.04284,1.65842,0.0,0.0,50.3065,136.264,2235.84,2.014328719222831,3.0864399999999996,,0.0,7.704255,0.469417,145.95652
DB1-Uio66Zr-BDC_A-irmof7_A_No329,0.15,6.12928,3.04284,1.65842,0.0,0.0,50.3065,136.264,2235.84,2.014328719222831,3.0864399999999996,,0.0,8.742,1.989685,160.977275
DB1-Uio66Zr-BDC_A-irmof6_A_No386,0.015,7.31796,2.06572,1.50202,0.0,0.0,86.6166,167.309,2235.84,3.5425711132196045,5.2522400000000005,,0.0,7.946132,1.093001,276.753875
DB1-Uio66Zr-BDC_A-irmof6_A_No386,0.15,7.31796,2.06572,1.50202,0.0,0.0,86.6166,167.309,2235.84,3.5425711132196045,5.2522400000000005,,0.0,8.540477,2.876932,218.94402
DB1-Uio66Zr-irmof10_A-irmof12_A_No10,0.015,9.51941,3.92887,0.829018,330.313,437.867,252.694,264.903,4791.32,2.4229384021359834,5.590540000000001,1.3256123737182612,0.06893987460658023,7.252592,1.023869,118.567855
DB1-Uio66Zr-irmof10_A-irmof12_A_No10,0.15,9.51941,3.92887,0.829018,330.313,437.867,252.694,264.903,4791.32,2.4229384021359834,5.590540000000001,1.3256123737182612,0.06893987460658023,7.474897,7.635505,179.999455
