filename,p/bar,S(g1),f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,UC_volume,Density,ASA,vASA,gASA,NASA,gNASA,vNASA,AVA,AVAf,AVAg,NAVA,NAVAf,NAVAg,POAVA,POAVAf,POAVAg,NPOAVA,NPOAVAf,NPOAVAg,Di,Df,Dif
DB1-Uio66Zr-irmof6_A-irmof7_A_No1,0.015,170.338985,486.6785999999998,920.8192000000008,4251.559199999997,4714.176000000006,12084.0,33088.0,72384.0,91776.0,54.0,152.0,432.0,672.0,632.0,2336.0,4812.0,6360.0,38.9448,137.06480000000005,306.5664,470.5872000000002,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,1600.0,2560.0,7440.0,7360.0,1.0,8.0,10.0,24.0,64.0,176.0,368.0,464.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,0.0,-16.88,-6.619999999999998,-47.07999999999999,0.0,256.0,214.0,776.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,134.0,0.0,6.480000000000003,5.420000000000001,19.28,143.5669,284.886,459.02373333333327,527.8611666666666,634.0,1272.0,1843.3333333333333,1945.6666666666667,20.33333333333333,42.66666666666666,68.66666666666667,82.0,114.66666666666669,292.3333333333333,394.0,422.6666666666667,9.079633333333335,21.35466666666668,31.314066666666672,34.88766666666667,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2283.85,1.34096,0.0,0.0,0.0,205.619,900.321,671.398,0.0,0.0,0.0,95.0994,0.04164,0.0310523,0.0,0.0,0.0,610.929,0.2675,0.199483,6.52202,3.38793,6.50899
DB1-Uio66Zr-irmof6_A-irmof7_A_No1,0.15,159.08332,486.6785999999998,920.8192000000008,4251.559199999997,4714.176000000006,12084.0,33088.0,72384.0,91776.0,54.0,152.0,432.0,672.0,632.0,2336.0,4812.0,6360.0,38.9448,137.06480000000005,306.5664,470.5872000000002,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,1600.0,2560.0,7440.0,7360.0,1.0,8.0,10.0,24.0,64.0,176.0,368.0,464.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,0.0,-16.88,-6.619999999999998,-47.07999999999999,0.0,256.0,214.0,776.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,134.0,0.0,6.480000000000003,5.420000000000001,19.28,143.5669,284.886,459.02373333333327,527.8611666666666,634.0,1272.0,1843.3333333333333,1945.6666666666667,20.33333333333333,42.66666666666666,68.66666666666667,82.0,114.66666666666669,292.3333333333333,394.0,422.6666666666667,9.079633333333335,21.35466666666668,31.314066666666672,34.88766666666667,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2283.85,1.34096,0.0,0.0,0.0,205.619,900.321,671.398,0.0,0.0,0.0,95.0994,0.04164,0.0310523,0.0,0.0,0.0,610.929,0.2675,0.199483,6.52202,3.38793,6.50899
DB1-Uio66Zr-irmof6_A-irmof7_A_No155,0.015,230.460515,486.6785999999998,920.8192000000004,4251.559199999997,4714.176000000005,12084.0,33088.0,72384.0,91776.0,54.0,152.0,432.0,672.0,632.0,2336.0,4812.0,6360.0,38.9448,137.06480000000002,306.5663999999999,470.58720000000017,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,1600.0,2560.0,7440.0,7360.0,1.0,8.0,10.0,24.0,64.0,176.0,368.0,464.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,0.0,-16.88,-6.619999999999998,-47.07999999999999,0.0,256.0,214.0,776.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,134.0,0.0,6.480000000000003,5.420000000000001,19.28,158.12209999999996,313.11466666666666,492.4764,587.6290333333333,704.0,1388.6666666666667,2050.0,2291.333333333333,21.83333333333333,45.66666666666666,72.33333333333333,88.0,121.33333333333331,308.6666666666667,421.6666666666667,472.0,9.75685,22.831900000000005,33.57416666666668,38.93213333333334,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.4016,17.138,17.203999999999997,33.65293333333333,61.5,56.0,94.0,155.83333333333334,1.0,2.1666666666666665,2.0,4.0,4.833333333333333,9.166666666666666,13.0,22.666666666666668,0.5378333333333333,0.88225,1.1293333333333335,2.012833333333333,32.535000000000004,94.8689405,127.69,220.56806916666665,0.0,2.1366666666666667,1.6466666666666672,3.5033333333333334,0.0,9.666666666666666,3.6666666666666665,11.333333333333334,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-1.6666666666666667,-1.6666666666666667,0.0,0.3899999999999999,-0.0733333333333334,0.1899999999999998,0.0,-4.024961666666667,-11.300000000000002,-16.289258333333336,2283.85,1.42096,0.0,0.0,0.0,178.408,781.174,549.751,0.0,0.0,0.0,77.5594,0.03396,0.0238993,0.0,0.0,0.0,540.13,0.2365,0.166437,6.35607,2.85566,6.35607
DB1-Uio66Zr-irmof6_A-irmof7_A_No155,0.15,201.37595,486.6785999999998,920.8192000000004,4251.559199999997,4714.176000000005,12084.0,33088.0,72384.0,91776.0,54.0,152.0,432.0,672.0,632.0,2336.0,4812.0,6360.0,38.9448,137.06480000000002,306.5663999999999,470.58720000000017,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,1600.0,2560.0,7440.0,7360.0,1.0,8.0,10.0,24.0,64.0,176.0,368.0,464.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,0.0,-16.88,-6.619999999999998,-47.07999999999999,0.0,256.0,214.0,776.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,134.0,0.0,6.480000000000003,5.420000000000001,19.28,158.12209999999996,313.11466666666666,492.4764,587.6290333333333,704.0,1388.6666666666667,2050.0,2291.333333333333,21.83333333333333,45.66666666666666,72.33333333333333,88.0,121.33333333333331,308.6666666666667,421.6666666666667,472.0,9.75685,22.831900000000005,33.57416666666668,38.93213333333334,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.4016,17.138,17.203999999999997,33.65293333333333,61.5,56.0,94.0,155.83333333333334,1.0,2.1666666666666665,2.0,4.0,4.833333333333333,9.166666666666666,13.0,22.666666666666668,0.5378333333333333,0.88225,1.1293333333333335,2.012833333333333,32.535000000000004,94.8689405,127.69,220.56806916666665,0.0,2.1366666666666667,1.6466666666666672,3.5033333333333334,0.0,9.666666666666666,3.6666666666666665,11.333333333333334,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-1.6666666666666667,-1.6666666666666667,0.0,0.3899999999999999,-0.0733333333333334,0.1899999999999998,0.0,-4.024961666666667,-11.300000000000002,-16.289258333333336,2283.85,1.42096,0.0,0.0,0.0,178.408,781.174,549.751,0.0,0.0,0.0,77.5594,0.03396,0.0238993,0.0,0.0,0.0,540.13,0.2365,0.166437,6.35607,2.85566,6.35607
DB1-Uio66Zr-irmof6_A-irmof7_A_No69,0.015,213.322425,486.6785999999998,920.8192000000008,4251.559199999997,4714.176000000006,12084.0,33088.0,72384.0,91776.0,54.0,152.0,432.0,672.0,632.0,2336.0,4812.0,6360.0,38.9448,137.06480000000005,306.5664,470.5872000000002,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,1600.0,2560.0,7440.0,7360.0,1.0,8.0,10.0,24.0,64.0,176.0,368.0,464.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,0.0,-16.88,-6.619999999999998,-47.07999999999999,0.0,256.0,214.0,776.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,134.0,0.0,6.480000000000003,5.420000000000001,19.28,157.21116666666668,304.33746666666667,489.6247999999999,572.7643666666665,932.6666666666666,1530.6666666666667,2318.0,2668.333333333333,21.0,44.0,70.66666666666667,84.66666666666667,118.0,300.3333333333333,406.6666666666667,445.3333333333333,10.279433333333332,23.075400000000005,34.40026666666667,39.883,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.1496,9.469577777777776,16.580844444444445,29.69308888888889,250.66666666666663,99.7777777777778,187.1111111111111,289.55555555555554,1.0,1.1111111111111112,2.0,3.777777777777778,1.4444444444444444,3.6666666666666665,6.444444444444444,11.0,0.9072111111111112,0.789,1.4563333333333333,2.463411111111111,183.79666666666665,150.84444444444446,294.03333333333336,497.57428277777785,0.0,0.5355555555555559,1.1700000000000006,2.604444444444445,0.0,9.222222222222223,18.666666666666668,41.44444444444444,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-3.555555555555556,-5.4444444444444455,0.0,0.1822222222222222,0.3599999999999999,1.0544444444444443,0.0,2.5333333333333323,4.399999999999998,14.677408333333329,2283.85,1.53162,0.0,0.0,0.0,153.932,674.004,440.06,0.0,0.0,0.0,61.9379,0.02712,0.0177068,0.0,0.0,0.0,471.614,0.2065,0.134825,6.35607,2.49975,6.35607
DB1-Uio66Zr-irmof6_A-irmof7_A_No69,0.15,220.498295,486.6785999999998,920.8192000000008,4251.559199999997,4714.176000000006,12084.0,33088.0,72384.0,91776.0,54.0,152.0,432.0,672.0,632.0,2336.0,4812.0,6360.0,38.9448,137.06480000000005,306.5664,470.5872000000002,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,1600.0,2560.0,7440.0,7360.0,1.0,8.0,10.0,24.0,64.0,176.0,368.0,464.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,0.0,-16.88,-6.619999999999998,-47.07999999999999,0.0,256.0,214.0,776.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,134.0,0.0,6.480000000000003,5.420000000000001,19.28,157.21116666666668,304.33746666666667,489.6247999999999,572.7643666666665,932.6666666666666,1530.6666666666667,2318.0,2668.333333333333,21.0,44.0,70.66666666666667,84.66666666666667,118.0,300.3333333333333,406.6666666666667,445.3333333333333,10.279433333333332,23.075400000000005,34.40026666666667,39.883,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.1496,9.469577777777776,16.580844444444445,29.69308888888889,250.66666666666663,99.7777777777778,187.1111111111111,289.55555555555554,1.0,1.1111111111111112,2.0,3.777777777777778,1.4444444444444444,3.6666666666666665,6.444444444444444,11.0,0.9072111111111112,0.789,1.4563333333333333,2.463411111111111,183.79666666666665,150.84444444444446,294.03333333333336,497.57428277777785,0.0,0.5355555555555559,1.1700000000000006,2.604444444444445,0.0,9.222222222222223,18.666666666666668,41.44444444444444,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-3.555555555555556,-5.4444444444444455,0.0,0.1822222222222222,0.3599999999999999,1.0544444444444443,0.0,2.5333333333333323,4.399999999999998,14.677408333333329,2283.85,1.53162,0.0,0.0,0.0,153.932,674.004,440.06,0.0,0.0,0.0,61.9379,0.02712,0.0177068,0.0,0.0,0.0,471.614,0.2065,0.134825,6.35607,2.49975,6.35607
DB1-Uio66Zr-irmof10_A_No16,0.015,7.97036,486.6785999999998,920.8191999999996,4251.5592000000015,4714.176000000001,12084.0,33088.0,72384.0,91776.0,54.0,152.0,432.0,672.0,632.0,2336.0,4812.0,6360.0,38.94480000000005,137.06480000000013,306.56640000000016,470.5872000000002,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,1600.0,2560.0,7440.0,7360.0,1.0,8.0,10.0,24.0,64.0,176.0,368.0,464.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,0.0,-16.88,-6.619999999999998,-47.07999999999999,0.0,256.0,214.0,776.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,134.0,0.0,6.480000000000003,5.420000000000001,19.280000000000005,261.4038,495.6614,834.8535999999998,990.926,1664.0,3488.0,4400.0,4740.0,34.0,70.0,112.0,144.0,182.0,450.0,640.0,760.0,16.8056,38.85980000000001,58.1148,68.86720000000003,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.5393,16.849549999999997,29.0379,23.29525,112.0,218.0,184.0,152.0,1.0,2.0,3.0,3.0,5.5,11.5,12.5,16.5,0.6597749999999998,1.380775,1.7079750000000005,1.6616,115.1575,215.00692075,218.52198349999995,288.05332500000003,0.0,0.3174999999999999,0.7775000000000003,2.0725,0.0,4.25,10.25,17.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0,0.1524999999999999,0.2574999999999999,0.4699999999999998,0.0,2.2232225000000017,3.273222499999999,1.1946674999999976,4791.32,1.06793,900.31,1879.05,1759.52,0.0,0.0,0.0,879.782,0.18362,0.17194,0.0,0.0,0.0,2412.43,0.5035,0.471472,0.0,0.0,0.0,10.06105,6.0098,9.33769
DB1-Uio66Zr-irmof10_A_No16,0.15,76.78849,486.6785999999998,920.8191999999996,4251.5592000000015,4714.176000000001,12084.0,33088.0,72384.0,91776.0,54.0,152.0,432.0,672.0,632.0,2336.0,4812.0,6360.0,38.94480000000005,137.06480000000013,306.56640000000016,470.5872000000002,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,1600.0,2560.0,7440.0,7360.0,1.0,8.0,10.0,24.0,64.0,176.0,368.0,464.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,0.0,-16.88,-6.619999999999998,-47.07999999999999,0.0,256.0,214.0,776.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,134.0,0.0,6.480000000000003,5.420000000000001,19.280000000000005,261.4038,495.6614,834.8535999999998,990.926,1664.0,3488.0,4400.0,4740.0,34.0,70.0,112.0,144.0,182.0,450.0,640.0,760.0,16.8056,38.85980000000001,58.1148,68.86720000000003,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.5393,16.849549999999997,29.0379,23.29525,112.0,218.0,184.0,152.0,1.0,2.0,3.0,3.0,5.5,11.5,12.5,16.5,0.6597749999999998,1.380775,1.7079750000000005,1.6616,115.1575,215.00692075,218.52198349999995,288.05332500000003,0.0,0.3174999999999999,0.7775000000000003,2.0725,0.0,4.25,10.25,17.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0,0.1524999999999999,0.2574999999999999,0.4699999999999998,0.0,2.2232225000000017,3.273222499999999,1.1946674999999976,4791.32,1.06793,900.31,1879.05,1759.52,0.0,0.0,0.0,879.782,0.18362,0.17194,0.0,0.0,0.0,2412.43,0.5035,0.471472,0.0,0.0,0.0,10.06105,6.0098,9.33769
DB1-Uio66Zr-BDC_A-irmof7_A_No332,0.015,191.900045,486.6785999999997,920.8192000000006,4251.559199999997,4714.176000000003,12084.0,33088.0,72384.0,91776.0,54.0,152.0,432.0,672.0,632.0,2336.0,4812.0,6360.0,38.94480000000001,137.06480000000013,306.56640000000027,470.5872000000002,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,1600.0,2560.0,7440.0,7360.0,1.0,8.0,10.0,24.0,64.0,176.0,368.0,464.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,0.0,-16.88,-6.619999999999998,-47.07999999999999,0.0,256.0,214.0,776.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,134.0,0.0,6.480000000000003,5.420000000000001,19.28,181.5006333333333,327.8671666666667,498.8607999999999,598.9926666666665,920.3333333333334,1654.6666666666667,2484.0,2789.6666666666665,21.33333333333333,43.0,64.66666666666667,81.0,107.66666666666669,260.3333333333333,364.6666666666667,423.6666666666667,10.901866666666663,23.2007,34.18540000000001,40.85076666666668,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.1136,15.865555555555554,19.188488888888887,21.61911111111111,59.833333333333336,82.55555555555556,104.22222222222224,106.94444444444444,1.0,1.638888888888889,2.0,2.638888888888889,3.472222222222222,6.75,8.305555555555555,13.25,0.5411222222222222,0.8849416666666666,1.1116666666666666,1.392763888888889,35.49833333333333,78.77786247222224,109.99666666666668,167.4463663611111,0.0,0.3877777777777778,0.9150000000000004,2.030555555555556,0.0,1.1944444444444444,2.0,5.972222222222222,0.0,0.0,0.0,0.0,0.0,-0.1666666666666666,-1.361111111111111,-2.1666666666666665,0.0,0.0177777777777777,-0.04,0.061111111111111,0.0,-2.017259166666667,-6.500000000000001,-11.047011944444447,2235.84,1.67262,0.0,0.0,0.0,131.994,590.354,352.952,0.0,0.0,0.0,44.9852,0.02012,0.012029,0.0,0.0,0.0,374.504,0.1675,0.100142,5.96944,3.04284,5.83809
DB1-Uio66Zr-BDC_A-irmof7_A_No332,0.15,183.463735,486.6785999999997,920.8192000000006,4251.559199999997,4714.176000000003,12084.0,33088.0,72384.0,91776.0,54.0,152.0,432.0,672.0,632.0,2336.0,4812.0,6360.0,38.94480000000001,137.06480000000013,306.56640000000027,470.5872000000002,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,1600.0,2560.0,7440.0,7360.0,1.0,8.0,10.0,24.0,64.0,176.0,368.0,464.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,0.0,-16.88,-6.619999999999998,-47.07999999999999,0.0,256.0,214.0,776.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,134.0,0.0,6.480000000000003,5.420000000000001,19.28,181.5006333333333,327.8671666666667,498.8607999999999,598.9926666666665,920.3333333333334,1654.6666666666667,2484.0,2789.6666666666665,21.33333333333333,43.0,64.66666666666667,81.0,107.66666666666669,260.3333333333333,364.6666666666667,423.6666666666667,10.901866666666663,23.2007,34.18540000000001,40.85076666666668,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.1136,15.865555555555554,19.188488888888887,21.61911111111111,59.833333333333336,82.55555555555556,104.22222222222224,106.94444444444444,1.0,1.638888888888889,2.0,2.638888888888889,3.472222222222222,6.75,8.305555555555555,13.25,0.5411222222222222,0.8849416666666666,1.1116666666666666,1.392763888888889,35.49833333333333,78.77786247222224,109.99666666666668,167.4463663611111,0.0,0.3877777777777778,0.9150000000000004,2.030555555555556,0.0,1.1944444444444444,2.0,5.972222222222222,0.0,0.0,0.0,0.0,0.0,-0.1666666666666666,-1.361111111111111,-2.1666666666666665,0.0,0.0177777777777777,-0.04,0.061111111111111,0.0,-2.017259166666667,-6.500000000000001,-11.047011944444447,2235.84,1.67262,0.0,0.0,0.0,131.994,590.354,352.952,0.0,0.0,0.0,44.9852,0.02012,0.012029,0.0,0.0,0.0,374.504,0.1675,0.100142,5.96944,3.04284,5.83809
